Molecule Name,DTXSID,CASRN,SMILES,id,nconf
,,,CCn1cc(-c2nc(=O)n(CCC3CCCO3)c3c2oc2ncc(-c4cnn(C)c4)cc23)cn1,f90065b614bbe1af,8
"5-methyl-4-phenyl-2-(1,3-thiazol-2-yl)-1,2-dihydro-3h-pyrazol-3-one",DTXSID601351898,1068515-45-6,Cc1[nH]n(-c2nccs2)c(=O)c1-c1ccccc1,992877b3c522c041,2
2-[4-(methylsulfanyl)anilino]-1-{[2-(trifluoromethyl)phenyl]methyl}-1h-benzimidazole-5-carboxamide,DTXSID30669861,1092829-83-8,CSc1ccc(Nc2nc3cc(C(N)=O)ccc3n2Cc2ccccc2C(F)(F)F)cc1,e4d7ee6e6466c068,12
,,,CN(C)C(=O)c1cccc(-c2cnc(N)c(-c3nc4cccc(N5CCNCC5)c4n3C)n2)c1,179ed22052d2844c,4
"4-(4-methyl-3-pyridinyl)-1-(2,2,2-trifluoroethyl)-1h-benzimidazole",DTXSID701352049,1370001-71-0,Cc1ccncc1-c1cccc2c1ncn2CC(F)(F)F,d78c3db843e8e625,8
,,,COc1ncnc(Cn2cc(C(=O)NCC3CC3)c3ncccc32)c1C,99fb08d93f1ec2b6,11
n-(n-(n-(n-l-tyrosylglycyl)glycyl)-l-phenylalanyl)-l-leucine,DTXSID00905127,58822-25-6,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,d72ed2e7320d68fb,4
"3-(4-ethylphenyl)-1,6-dimethylpyrimido[5,4-e][1,2,4]triazine-5,7(1h,6h)-dione",DTXSID901352526,878726-42-2,CCc1ccc(-c2nc3c(=O)n(C)c(=O)nc-3n(C)n2)cc1,3035de2fe00597ec,2
,,,O=C([C@H]1C[C@@H]1c1ccccc1)N1CCC(N2CCCCC2)CC1,d8ae6d5378354f69,2
"5,7,4'-trimethylapigenin",DTXSID10204855,5631-70-9,COc1ccc(-c2cc(=O)c3c(OC)cc(OC)cc3o2)cc1,99f0be9009db862f,2
"1h-indole-3-carboxamide, 1-(2-methoxyethyl)-n-1-naphthalenyl-",DTXSID901179952,1338925-13-5,COCCn1cc(C(=O)Nc2cccc3ccccc23)c2ccccc21,0c6715fcbfad2868,15
,,,CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(OC(F)F)cc3)ccc2NC1=O,022c949b2054fdde,8
,,,CC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(C(F)(F)F)cc3)cnc2NC1=O,490d153ec55a754d,6
"4-[(4-pyridinylmethyl)amino]-n-[3-(trifluoromethyl)phenyl]-1,2-thiazole-3-carboxamide",DTXSID001352612,924714-13-6,O=C(Nc1cccc(C(F)(F)F)c1)c1nscc1NCc1ccncc1,842789959774284a,4
4-fluoro-1-[3-(5-pyrimidinyl)phenyl]-1-[2-(trifluoromethyl)-4-pyridinyl]-1h-isoindol-3-amine,DTXSID001351995,1227163-56-5,NC1=NC(c2cccc(-c3cncnc3)c2)(c2ccnc(C(F)(F)F)c2)c2cccc(F)c21,6b8308aa44b344ab,17
"n,n-dimethyl-2-[3-[(1r)-1-pyridin-2-ylethyl]-1-benzothiophen-2-yl]ethanamine",DTXSID10468930,873693-47-1,C[C@@H](c1ccccn1)c1c(CCN(C)C)sc2ccccc12,a79adb4ff8fb116c,8
,,,CN1CCC(n2cc(-c3cnc4[nH]cc(C(=O)c5ccc(CO)cc5Cl)c4c3)cn2)CC1,68a562c32e560245,3
viloxazine,DTXSID6057900,46817-91-8,CCOc1ccccc1OCC1CNCCO1,e3b41b983d363e12,3
5'-o-[(2-hydroxybenzoyl)sulfamoyl]adenosine,DTXSID301345783,863238-55-5,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,d1a04096752232c0,4
,,,Cn1cc(-c2cnc3oc4c(-c5cscn5)nc(=O)n(CCC5CCCO5)c4c3c2)cn1,b3eb466ebd34c6d1,8
"2-amino-1-[2-(4-fluorophenyl)-3-[(4-fluorophenyl)amino]-5,6-dihydro-8,8-dimethylimidazo[1,2-a]pyrazin-7(8h)-yl]ethanone",DTXSID701105307,1261113-96-5,CC1(C)c2nc(-c3ccc(F)cc3)c(Nc3ccc(F)cc3)n2CCN1C(=O)CN,3e3638dc388ed658,8
,,,Cn1cc(-c2cnc3oc4c(-c5cnn(C)c5)nc(=O)n(CCC5CCCO5)c4c3c2)cn1,210c11ac31c08ad2,10
"benzeneacetic acid, 4-(1h-pyrazol-1-ylmethyl)-",DTXSID50437529,160388-51-2,O=C(O)Cc1ccc(Cn2cccn2)cc1,0cdf66e9286ab94e,7
prazosin,DTXSID4049082,19216-56-9,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,cbb6d3002a9b47c7,7
,,,COC(=O)c1ccc(-c2ccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)cc2)cc1,d7fc3e98b3b1e5eb,4
xaliproden,DTXSID9048306,135354-02-8,FC(F)(F)c1cccc(C2=CCN(CCc3ccc4ccccc4c3)CC2)c1,db1e8de138875428,4
"3-(4-methoxyphenyl)-9-(2-propyn-1-ylamino)pyrido[3',2':4,5]thieno[3,2-d]pyrimidin-4(3h)-one",DTXSID701352570,902747-98-2,C#CCNc1ccnc2sc3c(=O)n(-c4ccc(OC)cc4)cnc3c12,a3ae7d0cbc4620c8,9
2-hydroxy-n-{2-[3-methyl-2-oxo-7-{[3-(trifluoromethyl)benzyl]amino}-1(2h)-quinoxalinyl]ethyl}acetamide,DTXSID301351863,1018675-35-8,Cc1nc2ccc(NCc3cccc(C(F)(F)F)c3)cc2n(CCNC(=O)CO)c1=O,f659f9ef6f583917,6
"3-acetyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxyhexopyranoside",DTXSID70860259,NOCAS_860259,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1,a1708709d33d552f,2
idx 320,DTXSID60154659,1251165-81-7,COc1ccc2c(O[C@H]3CCN4C(=O)N(C)CCCC/C=C/[C@@H]5C[C@@]5(C(=O)NS(=O)(=O)C5(C)CC5)NC(=O)[C@@H]4C3)cc(-c3nc(C(F)(F)F)cs3)nc2c1C,3d3bcc03e20be29a,2
pretomanid,DTXSID8041163,187235-37-6,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,449ed36071e958d3,2
,,,O=C1c2ncc3c(c(S(=O)(=O)N4CCCC4)cn3Cc3ccc(F)cc3)c2CCN1O,e2cb34f066d59a87,16
,,,O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CN3CC4(COC4)C3)cc2)C1,0b08c454a15551d7,4
